r,en,root,method
1.1157894736842104,-1.1264248999660218,0,fci
1.1157894736842104,-0.9088023664610266,1,fci
1.1157894736842104,-0.7331393380427028,2,fci
1.1157894736842104,-0.6102478001196893,3,fci
1.1157894736842104,-0.532463064504893,4,fci
1.1157894736842104,-0.47212775509230576,5,fci
1.2578947368421052,-1.1023958221140506,0,fci
1.2578947368421052,-0.9350432243047809,1,fci
1.2578947368421052,-0.7376411221642952,2,fci
1.2578947368421052,-0.5909872323764024,3,fci
1.2578947368421052,-0.5418322127465416,4,fci
1.2578947368421052,-0.48878549935190496,5,fci
0.5473684210526316,-1.1318290074503379,0,fci
0.5473684210526316,-0.6312972099858518,1,fci
0.5473684210526316,-0.5646440456560751,2,fci
0.5473684210526316,-0.5398095801847864,3,fci
0.5473684210526316,-0.45500138697423553,4,fci
0.5473684210526316,-0.2869905239171917,5,fci
0.7368421052631579,-1.1723142837837024,0,fci
0.7368421052631579,-0.7771851038779058,1,fci
0.7368421052631579,-0.6746610831447433,2,fci
0.7368421052631579,-0.6181783896459092,3,fci
0.7368421052631579,-0.5313664302338281,4,fci
0.7368421052631579,-0.3759000349146595,5,fci
0.5947368421052631,-1.1518298460613772,0,fci
0.5947368421052631,-0.6781789114478874,1,fci
0.5947368421052631,-0.603167914166625,2,fci
0.5947368421052631,-0.5707324223584532,3,fci
0.5947368421052631,-0.48523343688140474,4,fci
0.5947368421052631,-0.32452053996895247,5,fci
0.7842105263157895,-1.1712887808920853,0,fci
0.7842105263157895,-0.8012945821794423,1,fci
0.7842105263157895,-0.6891127677550736,2,fci
0.7842105263157895,-0.6243720403485499,3,fci
0.7842105263157895,-0.5374619193760072,4,fci
0.7842105263157895,-0.3981984426544952,5,fci
1.0210526315789474,-1.142355770200795,0,fci
1.0210526315789474,-0.886030707592918,1,fci
1.0210526315789474,-0.7269595226702755,2,fci
1.0210526315789474,-0.6204943859141215,3,fci
1.0210526315789474,-0.5373216512594131,4,fci
1.0210526315789474,-0.4615047179664794,5,fci
0.6894736842105262,-1.170230964161351,0,fci
0.6894736842105262,-0.7493793194482736,1,fci
0.6894736842105262,-0.6563434781395694,2,fci
0.6894736842105262,-0.6080256776004442,3,fci
0.6894736842105262,-0.5215000880412415,4,fci
0.6894736842105262,-0.3735737212218935,5,fci
1.2105263157894735,-1.1102912368510336,0,fci
1.2105263157894735,-0.9272108397816333,1,fci
1.2105263157894735,-0.7366350491437302,2,fci
1.2105263157894735,-0.5977548481703404,3,fci
1.2105263157894735,-0.5339008136590512,4,fci
1.2105263157894735,-0.4792916574147076,5,fci
1.4,-1.080137717036796,0,fci
1.4,-0.9540555737279062,1,fci
1.4,-0.738496790353335,2,fci
1.4,-0.5838768427420313,3,fci
1.4,-0.569661996630715,4,fci
1.4,-0.4878900285661451,5,fci
1.068421052631579,-1.1344778025426818,0,fci
1.068421052631579,-0.8980223208750413,1,fci
1.068421052631579,-0.7304513783801869,2,fci
1.068421052631579,-0.6157299396107123,3,fci
1.068421052631579,-0.5347304072282433,4,fci
1.068421052631579,-0.4675524725175306,5,fci
0.8789473684210526,-1.1630229738247868,0,fci
0.8789473684210526,-0.8411408893814959,1,fci
0.8789473684210526,-0.7096153157672448,2,fci
0.8789473684210526,-0.6281951095246857,3,fci
0.8789473684210526,-0.5417837465458403,4,fci
0.8789473684210526,-0.43163063430727033,5,fci
1.3526315789473684,-1.087274100006668,0,fci
1.3526315789473684,-0.9483925998745559,1,fci
1.3526315789473684,-0.7385218176988353,2,fci
1.3526315789473684,-0.5768697343034792,3,fci
1.3526315789473684,-0.5692592693492495,4,fci
1.3526315789473684,-0.4904357288208034,5,fci
0.9263157894736842,-1.1568727862935826,0,fci
0.9263157894736842,-0.8577916503299879,1,fci
0.9263157894736842,-0.7168014526486918,2,fci
0.9263157894736842,-0.6270114265998868,3,fci
0.9263157894736842,-0.541278889224431,4,fci
0.9263157894736842,-0.44387359362257117,5,fci
0.6421052631578947,-1.1639159094643357,0,fci
0.6421052631578947,-0.7168567615226401,1,fci
0.6421052631578947,-0.6330246594260408,2,fci
0.6421052631578947,-0.5927401705343297,3,fci
0.6421052631578947,-0.5066608610976303,4,fci
0.6421052631578947,-0.3526508130628646,5,fci
1.163157894736842,-1.1183282079995918,0,fci
1.163157894736842,-0.9184957555185289,1,fci
1.163157894736842,-0.7351636639853432,2,fci
1.163157894736842,-0.604211618998451,3,fci
1.163157894736842,-0.5315371198739773,4,fci
1.163157894736842,-0.47546751991888847,5,fci
1.305263157894737,-1.0947065544086785,0,fci
1.305263157894737,-0.942078240139556,1,fci
1.305263157894737,-0.7382515087388912,2,fci
1.305263157894737,-0.5839999543261034,3,fci
1.305263157894737,-0.5546121400576318,4,fci
1.305263157894737,-0.4914319636698053,5,fci
0.831578947368421,-1.167984693938934,0,fci
0.831578947368421,-0.822437470516097,1,fci
0.831578947368421,-0.7005495022546432,2,fci
0.831578947368421,-0.6274874862424519,3,fci
0.831578947368421,-0.5406988023452987,4,fci
0.831578947368421,-0.4165721673092001,5,fci
0.5,-1.1008696851758033,0,fci
0.5,-0.5732458265214384,1,fci
0.5,-0.5144021573381408,2,fci
0.5,-0.49687997470708245,3,fci
0.5,-0.4128521865964261,4,fci
0.5,-0.23697265496534703,5,fci
0.9736842105263157,-1.1498919493188549,0,fci
0.9736842105263157,-0.8726801392336306,1,fci
0.9736842105263157,-0.722485441328243,2,fci
0.9736842105263157,-0.6243388870215582,3,fci
0.9736842105263157,-0.5396512769660812,4,fci
0.9736842105263157,-0.45371421485150376,5,fci
